,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
64,Botas Deportivas De Damas Hermosas + Colores + Calidad,75.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
40
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(48 disponibles),Hay stock disponible,,"651
ventas en los últimos 4 meses.","651
ventas en los últimos 4 meses.",,"651
ventas en los últimos 4 meses.","651
ventas en los últimos 4 meses.",1 opinión,4,¿Qué quieres saber?,"Cúcuta, Norte De Santander",,"Marca
Botines
Modelo
Tennis","Género Mujer
Tipo de calzado Botas","==ENVÍO GRATIS SI SU COMPRA ES IGUAL O MAYOR A 70.000 $$ ===ENVÍO GRATIS==isa

================ CALZADOS JYSUS & ALGO MAS ===============

MODELO: ZAPATOS PARA DAMAS
DISPONIBLE DESDE 35 HASTA 40
MATERIAL: EXCELENTE CALIDAD
COLORES: VARIADOS
EXCELENTE PRODUCCION NACIONAL

CALZADOS JYSUS & ALGO MAS

Su alternativa fashion a la hora de escoger zapatos y bolsos
Como Sabemos qué importancia tiene verse y sentirse bien a la hora de vestir; le ofrecemos una gran gama de modelos, diseños y colores de calzados para damas caballeros y niños que le harán lucir de en sueños en cada ocasión siempre hermosa y segura.

Disponible en todas las tallas y colores que se encuentran en la publicación...
ventas al mayor y al detal!!!!
Ofrecemos, Puntualidad, Responsabilidad y Atención ……..


¡¡QUE ESTAS ESPERANDO!!
Envío a toda Colombia, disfruta de esta agradable y confiable experiencia calzado de buena calidad no te vas arrepentir…
Producto Nacional de excelente calidad
VARIEDAD DE COLORES DISPONIBLES


Al ofertar escoge el color que allí sale...al realizar el pago te llegan mis datos y haces tú pedido directamente!!

==ENVÍO GRATIS SI SU COMPRA ES IGUAL O MAYOR A 70.000 $$ ====ENVÍO GRATIS==

INFORMACION IMPORTANTE:
1* El color que aparece al momento de comprar es único, ya que al momento de hacer la publicación, el sistema no deja cargar todos los colores: por ello, el modelo, color y talla se coordina por el chat interno de ML.
2* El tiempo de entrega siempre es de tres días hábiles (dependiendo su localidad) luego de entregar el paquete en la oficina de envío (Servientrega)."
65,Botas Bates Colores Nuevos 50% De Descuento,199.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
39
40
Al 91% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(29 disponibles),Hay stock disponible,,"298
ventas en los últimos 4 meses.","298
ventas en los últimos 4 meses.",,"298
ventas en los últimos 4 meses.","298
ventas en los últimos 4 meses.",9 opiniones,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",91%,"Marca
BATES
Modelo
DELTA 8",Género Hombre,
66,Bota De Seguridad En Cuero Dieléctricas Rh Puntera Warrior,109.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(48 disponibles),Hay stock disponible,,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Bucaramanga, Santander",,"Marca
ROBUSTA
Modelo
Warrior",Género Hombre,"BOTAS WARRIOR EN CUERO CON PUNTERA EN COMPOSITE DIELECTRICAS Cafe o Negra ROBUSTA BY SUELACOL


100% COLOMBIANAS Y CERTIFICADAS NORMAS NTC-ISO 20344, 20345 ;RESISTENCIA DIELECTRICA ASTMF2412 ; PUNTERA NORMA EN 12568-2010


GARANTIA: 4 MESES EN CONDICIONES NORMALES DE TRABAJO


DESCUENTOS ADICIONALES PARA DOTACIONES

DESCUENTO DEL 2% POR COMPRAS SUPERIORES A 12 UNIDADES IGUAL REFERENCIA.
DESCUENTO DEL 3% POR COMPRAS SUPERIORES A 36 UNIDADES IGUAL REFERENCIA.




METODO DE PAGO

VIA EFECTY O BANCOLOMBIA, SE RECOMIENDA HACER TRANSFERENCIA PARA EVITAR EL COSTO DE LA COMISION NACIONAL DE 12.500; EL COMPRADOR ASUME EL COSTO DEL ENVIO.

IMPORTANTE

PREGUNTA TODO LO QUE QUIERAS ANTES DE OFERTAR , UNA OFERTA ES UN COMPROMISO DE COMPRA Y DE NO HACERLA SERAS CALIFICADO EN FORMA NEGATIVA."
67,Bota Seguridad Liviana Lady Worker Mujer Dama,89.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
40","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(31 disponibles),Hay stock disponible,,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",2 opiniones,5,¿Qué quieres saber?,"Suba, Bogotá D.C.",,"Marca
Alpaca
Modelo
Lady Worker",Género Mujer,"Color: Café o negro
Talla: 35-40
Marca: Alpaca
CAPELLADACuero Graso Calibre 20-22
FORRADURAMesh 3D
SUELAPU
PESO580 g/par Aprox. (Talla 40)
Descuentos para distribuidores y mayoristas

CAPACIDAD DIELÉCTRICA
(DIELECTRIC CAPACITY)
NORMA ASTM F 2412 - 05 Y 2413 - 05
EVALUADA A 14.000 V.
(STANDARD ASTM F 2412 - 05 Y 2413 - 05
TESTED TO 14.000 V.)

RESISTENCIA A LA ABRASIÓN
(ABRASION RESISTANCE)
NORMA: DIN 53516 - NTC - ISO 20345
ABRASION PROMEDIO: 171 mm
REQUISITO: = 250 mm
(STANDARD: DIN 53516 - NTC - ISO 20345
AVERAGE: 171 mm
REQUIREMENT: = 250 mm )

FLEXIÓN
(FLEXION)
NORMA: NTC - ISO 20345
NO PRESENTA INCREMENTO DE PERFORACIONES
NI FRACTURAS A 30.000 CICLOS
(STANDARD: NTC - ISO 20345
NO FRACTURES WHEN IT REACHES 30.000
CYCLES )

ADHERENCIA TOTAL DE LA SUELA
(SOLE TOTAL ADHERENCE)
NORMA: NTC 2038
ADHERENCIA PROMEDIO: 11.96 N/mm
REQUERIMIENTO: = 5.3 N/mm
(STANDARD: NTC 2038
AVERAGE ADHERENCE: 11.96 N/mm
REQUIREMENT: = 5.3 N/mm)

RECUERDA: Te ofrecemos mercado envíos y si son compras mayores a $70000 son sin costo, la opción También se puede retirar en persona aplica únicamente para BOGOTÁ.

Las prendas modificadas, (Corte, costuras, bordados o estampados) PIERDEN LA GARANTÍA

Las fotos son referencia. En caso de necesitar factura se expide cuenta de cobro en mercado libre somos régimen simplificado."
68,Bota De Caucho Pvc Puntera Negra Guerrera Robusta Suelacol,44.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(158 disponibles),Hay stock disponible,,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Bucaramanga, Santander",,"Marca
ROBUSTA
Modelo
GUERRERA SEGURIDAD",Género Hombre,"CALZADO INDUSTRIAL DE SEGURIDAD EN PVC ROBUSTA



BOTAS EN PVC 100% IMPERMEABLES CON PUNTERA DE SEGURIDAD CANA ALTA



100% COLOMBIANAS Y CERTIFICADAS


REF - GUERRERA NEGRA SEGURIDAD CANA ALTA

NUMERACION 36-44 REF 40.700 R. S.




SUELACOL JPJ TU MEJOR OPCION GOOGLE"
69,,139.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
41
Al 94% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(12 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",23 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",94%,"Marca
Desierto
Modelo
Atacama","Género Hombre
Tipo de calzado Botas
Estilo Militares
Tipo de caña Alta","Botas tipo desierto elaborada en cuero genuino, lona impermeable de alta durabilidad, suela liviana en caucho resistente y antideslizante, vulcanizadas, caña de 20 cm, acolchado interno térmico suave, cremallera lateral resistente, plantilla ortopédica."
70,Botas Fazio Para Hombre En Cuero Negro- Outletshop -,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(42 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",3 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",,"Marca
Outlet Shop
Modelo
Fazio",Género Hombre,"Botines 100% cuero graso color negro y suela de goma con cierre lateral interno, hechos en Colombia. Nuestros productos están fabricados para uso cotidiano con alta calidad y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
71,Espectaculares Botas Deportivas En Cuero Para Hombre Cuero,105.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
39
40
41
42
Guía de tallas
Al 92% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(8 disponibles),,,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",86 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",92%,"Género
Hombre",,"Espectaculares botas deportivas en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodas y resistentes, en colores marrón claro, marrón, negro.

Somos fabricantes, botas nacionales 100% calidad y originalidad.

Tallas 37-38-39-40-41-42, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.

Ventas al detal y al mayor

Formas de pago y envío:

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
72,Botas Pantaneras Pantano Caña Alta Pvc Robusta Suelacol,34.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(61 disponibles),Hay stock disponible,,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",7 opiniones,4,¿Qué quieres saber?,"Bucaramanga, Santander",86%,"Marca
ROBUSTA
Modelo
PANTANO",Género Hombre,"CALZADO INDUSTRIAL DE SEGURIDAD EN PVC ROBUSTA PANTANO NEGRA CANA ALTA (crepe x negro)



BOTAS EN PVC 100% IMPERMEABLES CANA ALTA

100% COLOMBIANAS Y CERTIFICADAS


REF - PANTANO NEGRA CANA ALTA

NUMERACION 36-44



SUELACOL JPJ TU MEJOR OPCION GOOGLE"
73,Bota Industrial Brama 2892,387.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
42
43","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(16 disponibles),Hay stock disponible,,"278
ventas en los últimos 4 meses.","278
ventas en los últimos 4 meses.",,"278
ventas en los últimos 4 meses.","278
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Medellín, Antioquia",,"Marca
Brahma
Modelo
HQ 2892-CP",Género Hombre,"Botas Brahma Industriales Marrón HQ2892-MAO
DETALLES DEL PRODUCTO
Sistema de Ajuste
Ajuste de Cordones
Speed Hooks
Construcción
Construción Montado
Cuero
Suela
Suela Totalmente en Caucho para Mejor Resistencia
Plantillas
Plantillas Planas con extra comodidad
Acabado
Graso
Tecnologías
Phylon
Forro
Forro en material Textil
Seguridad
Puntera de Seguridad en Composite
Dieléctrica
Bota de Seguridad"
74,Botas En Cuero Para Hombre - Glenn Sport Café - Outletshop-,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 87% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(14 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",13 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",87%,"Marca
Outlet Shop
Modelo
Sport café",Género Hombre,"Botines 100% cuero, combinación entre liso y nobuk color café y suela de goma, hechos en Colombia. Nuestros productos nacen de la meta relacionada con la fabricación productos de uso cotidiano con calidad alta y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
75,Botas Fazio Para Hombre En Cuero Vinotinto - Outletshop -,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(30 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",100%,"Marca
Outlet Shop
Modelo
Fazio",Género Hombre,"Botines 100% cuero graso color vinotinto y suela de goma con cierre lateral interno, hechos en Colombia. Nuestros productos están fabricados para uso cotidiano con alta calidad y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
76,Botas De Seguridad Con Puntera,39.900,Envío a nivel nacional,,talla: 38,talla: 38,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(83 disponibles),Hay stock disponible,,"1969
ventas en los últimos 4 meses.","1969
ventas en los últimos 4 meses.",,"1969
ventas en los últimos 4 meses.","1969
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",,"Género
Hombre",,"BOTAS DE SEGURIDAD CON PUNTERA

CAPELLADA 85% CUERO
15% POLIURETANO
RELLENO CON PUNTERA METALICA
FORRO NO TEJIDO
SUELA 100% POLIURETANO
CON SUELA DE METAL"
77,Botas Cuero Alvines Tipo Brahma Resistentes Cocidas Militar,69.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(873 disponibles),Hay stock disponible,,"909
ventas en los últimos 4 meses.","909
ventas en los últimos 4 meses.",,"909
ventas en los últimos 4 meses.","909
ventas en los últimos 4 meses.",5 opiniones,4,¿Qué quieres saber?,"Chapinero, Bogotá D.C.",86%,"Marca
Alvines
Modelo
Alvines",Género Hombre,"SOMOS DISTRIBUIDORES DIRECTOS!!

Botas para dama y caballero 100% en cuero graso.

CARACTERÍSTICAS.

- Cuero graso de alta calidad.
- Suela cocida y vulcanizada Antideslizante.
- Hilos gruesos para mayor durabilidad.
- Acolchadas en el tobillo para mayor protección.

TALLAS

- del 34 al 43 (SUJETAS A DISPONIBILIDAD)

COLORES

- Negra
- Café

APROVECHA EL PRECIO Y LA COMODIDAD DE LAS BOTAS ALVINES!"
78,,,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
39
40
41
42
Guía de tallas
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",,Hay stock disponible,,"1262
ventas en los últimos 4 meses.","1262
ventas en los últimos 4 meses.",,"1262
ventas en los últimos 4 meses.","1262
ventas en los últimos 4 meses.",6 opiniones,4,¿Qué quieres saber?,"Cali, Valle Del Cauca",86%,"Marca
CAT
Modelo
Botas Montaña",Género Hombre,"Genuinas Botas Caterpillar para Hombre!

Tallas desde la 37 hasta la 42

Has todas las consultas y pide asesoría para calcular tu talla.

Si tiene alguna inquietud del producto o del proceso de compra, puedes dar clic en preguntar y estaremos atentos a responder en el menor tiempo posible.

Envió Gratis a nivel Nacional. Compra 100% segura y protegida por Mercadoenvios.

Recuerda que todo cambio por talla y color, genera costos de transporte que deberán ser asumidos por el comprador.

Por favor no incluir datos de contacto en la sección de preguntas, una vez realice la oferta obtendrá todos mis datos para ultimar detalles del envió.

*GARANTÍA 30 DÍAS* POR DEFECTOS DE FABRICACIÓN"
79,Botas Militar Under Armour Valsetz 100% Originales Arena,569.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
39
40
41
42
43
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(40 disponibles),Hay stock disponible,,"128
ventas en los últimos 4 meses.","128
ventas en los últimos 4 meses.",,"128
ventas en los últimos 4 meses.","128
ventas en los últimos 4 meses.",3 opiniones,3,¿Qué quieres saber?,"Teusaquillo, Bogotá D.C.",,"Marca
Under Armour
Modelo
Valsetz",Género Hombre,"100% Originales!!!!
TIEMPO DE ENTREGA: 10 días calendario

Importadas de USA
6 MESES DE GARANTÍA
MANEJAMOS TODOS LOS COLORES Y TALLAS DESDE EL 39 EN COLOMBIA.

ADN del producto

Las botas UA Valsetz son ideales para usos militares y policiales. Y hemos vuelto a subir el nivel. La misma amortiguación Micro G® de nuestras zapatillas de running las hace aún más cómodas y la tecnología UA ClutchFit™ crea un contacto natural para un apoyo firme. En definitiva, hemos tomado lo mejor y lo hemos mejorado.
La tecnología UA ClutchFit™ envuelve tu tobillo con una ""segunda piel"" ligera creando un fuerte apoyo y una sensación increíble
El calzado UA Storm utiliza la tecnología DWR que repele el agua sin sacrificar la transpiración ni añadir peso
Cuero sintético y empeine textil con película soldada, resistente a la abrasión en torno al perímetro del pie
La plantilla completa de espuma Micro G® convierte las pisadas amortiguadas en explosivos despegues
La caña ligera de TPU sujeta la zona media del pie y proporciona la cantidad correcta de rigidez
La plantilla interior Ortholite® moldeada está diseñada con una cubierta viscoelástica y una base de PU
Suela de caucho acanalada de perfil bajo
Puntera de TPU
Altura: 17,5 cm
Importado"
80,Botas Zapato Para Niño Tallas 19-26 Fabricacion Colombiana,29.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(30 disponibles),Hay stock disponible,,"545
ventas en los últimos 4 meses.","545
ventas en los últimos 4 meses.",,"545
ventas en los últimos 4 meses.","545
ventas en los últimos 4 meses.",2 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",,,,Botas Gear De Niño Tallas 21-26 Fabricacion Colombiana
81,Botines De Mujer Con Taches Liverpool Outfit Cool,98.100,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(5 disponibles),Hay stock disponible,,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Itaguí, Antioquia",,"Marca
Baya Baya Store
Modelo
liverpool",Género Mujer,"Botín liverpool

Los botines son una buena elección a la hora de buscar un estilo cómodo y versátil, te brindan protección, comodidad y son fáciles de combinar.

Baya Baya te trae la tendencia europea de llevar a la oficina unas botines cómodos y formales.

Estos zapatos a son confeccionados en microfibra hacen parte de nuestra más reciente colección. Muy elegantes con su punta redonda y tacón 3 y medio atraerás todas las miradas a la hora de caminar.

Una de las cosas mas importantes a la hora de comprar es saber el origen del producto que estás adquiriendo para tu conocimiento te informamos que todos nuestros zapatos son confeccionados por artesanos del calzado colombianos, por lo que aparte de comprar un producto de excelente calidad estás ayudando a que la industria colombiana no muera.

En Baya Baya siempre otorgándote los mejores productos al mejor precio del mercado para que tengas ese toque de distinción. Nuestros materiales son amigables con el medio ambiente."
82,,,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
41
42
43
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(21 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",100%,"Marca
Desierto
Modelo
Siria","Género Hombre
Tipo de calzado Botas
Estilo Militar
Tipo de caña Alta
Año de lanzamiento 2016","Bota táctica elaborada en cuero liso, lona impermeable de alta durabilidad, suela liviana en caucho resistente y antideslizante, vulcanizadas, caña de 20 cm, acolchado interno térmico suave, cremallera lateral y plantilla semi ortopédica"
83,"Botas Para Hombre,botines Hombre Clarks, Botas Mosa Casual",76.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 83% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(18 disponibles),Hay stock disponible,,"391
ventas en los últimos 4 meses.","391
ventas en los últimos 4 meses.",,"391
ventas en los últimos 4 meses.","391
ventas en los últimos 4 meses.",5 opiniones,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",83%,"Marca
CLARKS
Modelo
Botas",Género Hombre,"Bota Casual
Tipo de Producto: Bota Casual
Altura Caña: Media
Tipo de Punta: Redonda
Empeine: Moldeado
Tipo Ajuste: Cordón
Ocasión: Casual
Medida Caña: 12.5cm
Medida Collarín: 11cm
Material Externo: Sintetico,tipo cuero de alta calidad garantizado
Material Interno: Textil
Material Suela: TR
Origen: Producto Nacional
Tallaje: Numeración Colombiana 37 al 43
Envios gratis a nivel Nacional
Cambios Gratis"
84,Botas Caucho Ecuatoriana Llanera Venus Impermeables Moto,36.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(975 disponibles),Hay stock disponible,,"909
ventas en los últimos 4 meses.","909
ventas en los últimos 4 meses.",,"909
ventas en los últimos 4 meses.","909
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Chapinero, Bogotá D.C.",,"Marca
Venus
Modelo
LLanera",Género Hombre,"Botas en caucho ecuatoriana Llanera de Venus

Características

- 100% impermeables
- Suela en caucho anti deslizante
- Caña Alta
- Media interna en poliester
- Caucho PVC (cloruro de polvinio)

Tallas

- del 35 al 44

APROVECHA EL PRECIO Y PROTEGE TUS PIES !!"
85,Espectaculares Botas En Cuero Para Hombre Resistentes,95.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 67% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(8 disponibles),,,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",8 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",67%,"Género
Hombre",,"Espectaculares botas en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodas y resistentes, en colores amarillo, marrón.

Somos fabricantes, botas nacionales 100% calidad y originalidad.

Tallas 37-38-39-40-41-42-43, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.

Ventas al detal y al mayor.

Formas de pago y envío:

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
86,"Bota Certificada Slimer Discovery Croydon Cuero,suela Caucho",125.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
40
41
Guía de tallas
Al 88% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(4 disponibles),Hay stock disponible,,"154
ventas en los últimos 4 meses.","154
ventas en los últimos 4 meses.",,"154
ventas en los últimos 4 meses.","154
ventas en los últimos 4 meses.",3 opiniones,4,¿Qué quieres saber?,"Cúcuta, Norte De Santander",88%,"Marca
Croydon
Modelo
SLIMER DISCOVERY","Género Hombre
Tipo de calzado Botas
Estilo MODA
Tipo de caña MEDIA BAJA
Temporada de lanzamiento Primavera-verano
Año de lanzamiento 2019","BOTA CUERO ORIGINAL MARCA CROYDON, COLOR NEGRO ó CAFE, SUELA CAUCHO,ANTIDESLIZANTE, LINEA DISCOVERY DE LA MARCA CROYDON. TODAS LAS TALLAJE VA DESDE LA TALLA 38 A 43.

ALMANORTE, SOMOS DISTRIBUIDORES NACIONALES DE CALZADO HACE MAS DE 40 AÑOS. REGULAMOS LOS PRECIOS A NIVEL NACIONAL.

* DESCUENTOS PARA COMPRAS DIRECTAS AL MAYOR DESDE 20%*"
87,Botines Para Dama En Cuero,83.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",,Hay stock disponible,,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Ciudad Bolivar, Bogotá D.C.",,"Marca
Jhonalje
Modelo
509","Género Mujer
Tipo de calzado Botas
Tipo de caña Baja
Temporada de lanzamiento Primavera-verano","- Puntera en Cuero
- Plantilla inyectada gran durabilidad y comodidad
- Altura cinco y medio con suela en Tr
- Garantía por fábrica 60 Días
- Tallas desde la 34 hasta la 39
- Colores disponibles: Negro y Miel

IMPORTANTE:
1. -ANTES DE REALIZAR LA COMPRA ACLARAR TODAS LAS DUDAS EN CUANTO A TALLAS,COLORES,MATERIALES, ETC,
2. - PARA CONOCER A CERCA DE LAS TALLAS TENEMOS UNA GUÍA DE TALLAS EN LA CUAL SE PUEDEN REFERENCIAR PARA REALIZAR SU PEDIDO.
3. - SI SE NECESITA REALIZAR UN CAMBIO POR NÚMERO SE DEBE INFORMAR EL MISMO DÍA EN EL CUAL SE RECIBE EL PRODUCTO, SE DEBE TENER EN CUENTA QUE EL COMPRADOR ASUMIRÁ LOS COSTOS LOGÍSTICOS QUE SE GENEREN POR EL CAMBIO.

- ESTAREMOS ATENTOS A CUALQUIER DUDA O SOLICITUD, GRACIAS POR SU
COMPRESIÓN."
